ANCILLARYROLE,ENABLED,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,LOCATION,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CONDITION_NOTATION,LAST_INSP_DATE,ROTATION,STRUCTURE_TYPE,SPAN_SUPPORTS,CRE_DATE,MOD_DATE,STATUS,YR,OWNER,PROJECT_NO,GIS_ENTRY_STAGE,COMMENTS,Latitude,Longitude
0,1,7,P Trap,1001885421,,,,,,,,,,90,,,20160729,20160729,In Service,2015,Surrey,7811-0287-00,Final AB,,49.055381,-122.787879
0,1,6,Pipe Bridge,1001135233,,Wills Brook,,,,,,,,,,,20091021,20091021,In Service,2009,Surrey,7805-0126-00,Final AB,,49.053610,-122.779793
0,1,7,P Trap,1001885384,,,,,,,,,,90,,,20160729,20160729,In Service,2005,Surrey,7899-0215-00,Final AB,,49.194020,-122.786897
0,1,0,Air Valve Assembly,1001892849,,,,,,,,,,,,,20170620,20170620,In Service,2016,Surrey,4706-4530-00,Final AB,1350 MH,49.038331,-122.769346
0,1,7,P Trap,1001885379,,,,,,,,,,90,,,20160729,20160729,In Service,2005,Surrey,7803-0072-00,Final AB,,49.168609,-122.767847
0,1,7,P Trap,1001885367,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.157771,-122.751776
0,1,0,Air Valve Assembly,1001157938,,North Surrey Interceptor,,,,,,,,,,,20100430,20140509,In Service,2010,Metro Vancouver,SF-1784,Final AB,,49.194375,-122.744106
0,1,6,Pipe Bridge,1001161169,,Nikomekl River @ 184 St,,,,,,,,,,,20100520,20100520,In Service,2009,Surrey,4707-2040-00,Final AB,,49.085095,-122.713348
0,1,1,Air Vent,1001780574,,,,,,,,,,,,,20140911,20140911,In Service,2014,Surrey,7810-0301-00,Initial AB,,49.045703,-122.703753
0,1,0,Air Valve Assembly,1000838860,,,,,,,,,,,,,20071211,,In Service,,,,,,49.190234,-122.905344
0,1,0,Air Valve Assembly,1000838857,,,,,,,,,,,,,20071211,,In Service,,,,,,49.190936,-122.904486
0,1,0,Air Valve Assembly,1000838849,,,,,,,,,,,,,20071211,,In Service,,,,,,49.195644,-122.897904
0,1,1,Air Vent,1001120847,,,,,,,,,,,,,20090430,,In Service,,,,,,49.099493,-122.885993
0,1,7,P Trap,1001885423,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.097064,-122.880893
0,1,7,P Trap,1001885424,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.096904,-122.878388
0,1,5,Odour Control Device,1001410890,,Liverpool L.S. Biobed,,,,,,,,,,,20120426,20120426,In Service,2012,Surrey,4706-4520-00,Final AB,Biobed,49.209468,-122.874658
0,1,0,Air Valve Assembly,1001936980,1000071034,,,,,0,0,,,,,,20170622,20170622,In Service,2000,Surrey,1794-3080-00,Final AB,,49.208866,-122.864542
0,1,0,Air Valve Assembly,1000849493,,,,,,,,,,,,,20080429,,In Service,,,,,,49.145873,-122.823249
0,1,5,Odour Control Device,1001154901,,Rosemary Heights Odour Control Bio-Bed,,,,,,,,,,,20100408,20100430,In Service,2009,Surrey,4705-4580-00,Final AB,,49.059026,-122.800347
0,1,0,Air Valve Assembly,1000838569,,,,,,,,,,,,,20071207,,In Service,,,,,,49.067356,-122.792158
0,1,7,P Trap,1001951720,,,,,,,,,,,,,20171017,20171017,In Service,2017,Surrey,7815-0183-00,Final AB,,49.054956,-122.767335
0,1,7,P Trap,1001943887,,,,,,,,,,,,,20170823,20171220,In Service,2017,Private,7814-0168-00,Initial AB,,49.167562,-122.767905
0,1,0,Air Valve Assembly,1001892759,,,,,,,,,,,,,20170620,20170620,In Service,2016,Surrey,4706-4530-00,Final AB,1350 MH,49.031066,-122.761250
0,1,0,Air Valve Assembly,1001757795,,,,,,,,,,,,,20140725,20140725,In Service,1997,Surrey,4795-5010-00,Final AB,50mm,49.121408,-122.734745
0,1,7,P Trap,1001885438,,,,,,,,,,90,,,20160729,20160729,In Service,2010,Surrey,7807-0159-00,Final AB,,49.133306,-122.726826
0,1,0,Air Valve Assembly,1000838862,,,,,,,,,,,,,20071211,,In Service,,,,,,49.189135,-122.906680
0,1,0,Air Valve Assembly,1001192114,,,,,,,,,,,,,20110318,20110318,In Service,1995,Surrey,7893-0309-00,Final AB,,49.199513,-122.873091
