SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTION HOLDINGS SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYSTEM,,CC,,CV,,FL,,GL,,NE,,OP,,PK,,SE,,SH,,RA,,CS,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 26,412 "," 26,302 "," 6,920 ","6,874", 467 , 445 ," 2,148 "," 2,115 "," 5,918 "," 5,554 "," 3,694 "," 4,591 ", 20 , 10 , 4 , 9 ," 2,462 "," 2,256 "," 4,779 "," 4,448 ", -   , -   , -   , -   ,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 7,316 "," 7,596 ", 931 ,"1,261", 310 , 280 , 982 , 930 ," 2,104 "," 2,016 ", 886 , 809 , 91 , 193 , 1 , 1 ," 1,185 "," 1,112 ", 826 , 994 , -   , -   , -   , -   ,-3.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 1,604 "," 1,629 ", 362 ,337, 89 , 87 , 129 , 133 , 317 , 308 , 232 , 287 , 35 , 34 , 39 , 39 , 167 , 172 , 234 , 232 , -   , -   , -   , -   ,-1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior, 578 , 525 , 132 ,141, 31 , 22 , 67 , 58 , 150 , 127 , 51 , 35 , 3 , 6 , -   , -   , 105 , 89 , 39 , 47 , -   , -   , -   , -   ,10.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Databases, 51 , 51 ,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebooks," 21,294 "," 21,278 ",,,,,,,,,,,,,,,,,,,,,,,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eaudiobooks," 4,021 "," 2,509 ",,,,,,,,,,,,,,,,,,,,,,,60.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ADULT," 404,526 "," 408,605 "," 84,537 "," 84,297 "," 34,282 "," 34,452 "," 33,736 "," 33,645 "," 77,599 "," 78,482 "," 52,640 "," 55,167 "," 20,630 "," 20,690 "," 6,322 "," 6,252 "," 58,681 "," 58,946 "," 31,593 "," 31,113 "," 4,487 "," 5,378 ", 19 , 183 ,-1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,51.1%,51.1%,56.1%,55.8%,54.4%,54.4%,44.7%,44.1%,50.7%,50.4%,51.7%,53.7%,43.2%,42.1%,46.7%,45.6%,50.8%,51.6%,47.3%,46.2%,100.0%,99.9%,86.4%,99.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL JUNIOR," 387,731 "," 390,492 "," 66,070 "," 66,726 "," 28,702 "," 28,894 "," 41,798 "," 42,642 "," 75,502 "," 77,193 "," 49,084 "," 47,610 "," 27,170 "," 28,417 "," 7,220 "," 7,465 "," 56,918 "," 55,322 "," 35,263 "," 36,215 ", 1 , 7 , 3 , 1 ,-0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,48.9%,48.9%,43.9%,44.2%,45.6%,45.6%,55.3%,55.9%,49.3%,49.6%,48.3%,46.3%,56.8%,57.9%,53.3%,54.4%,49.2%,48.4%,52.7%,53.8%,0.0%,0.1%,13.6%,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL MULTILINGUAL," 35,910 "," 36,052 "," 8,345 "," 8,613 ", 897 , 834 ," 3,326 "," 3,236 "," 8,489 "," 8,005 "," 4,863 "," 5,722 ", 149 , 243 , 44 , 49 ," 3,919 "," 3,629 "," 5,878 "," 5,721 ", -   , -   , -   , -   ,-0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,4.5%,4.5%,5.5%,5.7%,1.4%,1.3%,4.4%,4.2%,5.5%,5.1%,4.8%,5.6%,0.3%,0.5%,0.3%,0.4%,3.4%,3.2%,8.8%,8.5%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL HOLDINGS," 792,257 "," 799,097 "," 150,607 "," 151,023 "," 62,984 "," 63,346 "," 75,534 "," 76,287 "," 153,101 "," 155,675 "," 101,724 "," 102,777 "," 47,800 "," 49,107 "," 13,542 "," 13,717 "," 115,599 "," 114,268 "," 66,856 "," 67,328 "," 4,488 "," 5,385 ", 22 , 184 ,-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of System Total,100.0%,100.0%,19.0%,18.9%,7.9%,7.9%,9.5%,9.5%,19.3%,19.5%,12.8%,12.9%,6.0%,6.1%,1.7%,1.7%,14.6%,14.3%,8.4%,8.4%,0.6%,0.7%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual is included in adult & junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French is not included in multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On order is excluded from counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Surrey Archives also excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
