TYPE,SITE_NO,SITE_NAME,ADDRESS,HERITAGE_NEIGHBOURHOOD,REGISTER_RESOLUTION_DATE,HERITAGE_REGISTER_AMENDED,HERITAGE_VALUE,WEBLINK,Latitude,Longitude
Registered and Protected,200,Tynehead Elementary School (West Wing),8820 168 Street,Tynehead,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3417.aspx,49.163219,-122.756234
Registered,165,William McMillan House,19022 16 Avenue,Hazelmere,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3342.aspx,49.030870,-122.696113
Registered,173,Grandview Heights Elementary School Annex,17561 20 Avenue,Grandview Heights,20001204,No,Historical,http://www.surrey.ca/city-services/3422.aspx,49.039045,-122.736491
Registered and Protected,16,Stewart Farm -Root Cellar,13723 Crescent Road,Crescent Beach,19970603,No,"Architectural, Historical",http://www.surrey.ca/city-services/3359.aspx,49.065164,-122.842182
Registered,53,Louis Kley House,638 176 Street,Douglas,19981102,No,Architectural,http://www.surrey.ca/city-services/3278.aspx,49.013678,-122.734494
Registered,38,Ross House,17826 59A Avenue,Cloverdale,19981102,No,Architectural,http://www.surrey.ca/city-services/3219.aspx,49.110287,-122.728800
Registered and Protected,132,Louis Dahl House,11334 River Road,Royal Heights,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3277.aspx,49.180606,-122.908640
Registered,66,Pow Wow Rock,2938 145A Street,Elgin,19981102,No,Natural,http://www.surrey.ca/city-services/3234.aspx,49.055792,-122.818311
Registered,140,Robert Kennedy House,12481 Old Yale Road,South Westminster,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3318.aspx,49.197390,-122.876545
Registered,117,Michael Morrisey House,9207 160 Street,Fleetwood,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3337.aspx,49.170283,-122.779482
Registered,214,King George Boulevard and Royal Oak Trees,Right of way from Patullo Bridge to 8 Ave and English Oak Trees from Nicomekl River to 8 Ave,,20040112,No,"Historical, Environmental",http://www.surrey.ca/city-services/3418.aspx,49.064319,-122.817094
Registered,158,Creelman House,5678 182 Street,Cloverdale,20001204,No,Architectural,http://www.surrey.ca/city-services/3249.aspx,49.105652,-122.718010
Registered,130,Edward Armstrong House,7381 192 Street,Clayton,19981102,No,Architectural,http://www.surrey.ca/city-services/3334.aspx,49.136950,-122.691257
Registered and Protected,97,Meadow Ridge Farm - Barn,16390 64 Avenue,Surrey Centre,19981102,No,Architectural,http://www.surrey.ca/city-services/3336.aspx,49.118437,-122.769150
Registered,166,Hazelmere Cemetery,19184 16 Avenue,Hazelmere,20001204,No,"Historical, Cultural",http://www.surrey.ca/city-services/3294.aspx,49.030746,-122.691926
Registered,221,Redwood Park,17710 20 Avenue,Grandview Heights,20040112,No,Historical Environmental,http://www.surrey.ca/city-services/3235.aspx,49.037498,-122.729107
Registered,207,Port Kells Elementary School,19076 88 Avenue,Port Kells,20001204,No,Historical,http://www.surrey.ca/city-services/3383.aspx,49.162554,-122.693934
Registered and Protected,224,Rothwell House,2598 O'Hara Lane,Crescent Beach,20050207,No,Historical Architectural,http://www.surrey.ca/city-services/3253.aspx,49.050068,-122.884015
Registered and Protected,3,St. Helen’s Anglican Church,10787 128 Street,South Westminster,19970603,No,"Architectural, Historical",http://www.surrey.ca/city-services/3367.aspx,49.199053,-122.868435
Registered,210,Rock Tree and Boulder,12237 91A Avenue,Kennedy,20021209,No,"Cultural, Natural",http://www.surrey.ca/city-services/3326.aspx,49.169676,-122.883821
Registered and Protected,10,St. Oswald’s Church,19016 96 Avenue,Port Kells,19970603,,"Architectural, Historical",http://www.surrey.ca/city-services/3288.aspx,49.176785,-122.695706
