SIGN_TYPE,SIGN_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,SIGN_MESSAGE,SIGN_POST_TYPE,PARK_ENTRANCE,SIGN_SIZE,ROAD_NAME,ADDRESS,SIGN_INVENTORY_NO,PLATE_NO,ROAD_TYPE,DIRECTION_FACING,SIDE_OF_ROAD,PLATE_TYPE_CODE,POST_TYPE_CODE,INSTALLED_BY,DATE_INSTALLED,TAB1_CODE,TAB2_CODE,WORK_ORDER,PLATE_DESCRIPTION,POST_TYPE_DESCRIPTION,TAB1_DESCRIPTION,TAB2_DESCRIPTION,PASS_REFLECTIVITY,DISPLACEMENT_ROADCODE,DISPLACEMENT_DISTANCE,DISPLACEMENT_DIRECTION,DISPLACEMENT_ADDRESS,PSEUDO_ADDRESS,ADDRESS_OVERRIDE,DATE_TESTED,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,STRUCTURES_INSPECTION_ROUTE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,,1001141742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Service,1R05,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091127,20091127,49.173856,-122.690429
0,,1001141743,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1R05,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091127,20091127,49.177091,-122.690734
0,,1001141744,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20091127,20091127,49.177087,-122.691332
0,,1001141746,,,,,,,,,,,,,,WA36L,,,,,,,,,,,,,,,,,,,In Service,1R05,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091127,20091127,49.176972,-122.690149
0,,1001141747,,,,,,,,,,,,,,WA36L,,,,,,,,,,,,,,,,,,,In Service,1R05,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091127,20091127,49.177002,-122.690800
0,,1001141748,,,,,,,,,,,,,,WA36L,,,,,,,,,,,,,,,,,,,In Service,1R05,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091127,20091127,49.176804,-122.690544
0,,1001143874,,,,,,,,,,,,East Bound,South,RB55L,,,,,,,,,,,,,,,,,,,In Service,7806-0205-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091216,20091216,49.126299,-122.685771
0,,1001143877,,,,,,,,,,,,South Bound,West,RB58R,,,,,,,,,,,,,,,,,,,In Service,7806-0205-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091216,20091216,49.125502,-122.685375
0,,1001156982,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Provincial,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100420,20100420,49.151679,-122.734598
0,,1001156965,,,,,,,,,,,,,,RB51B,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100420,20100420,49.148252,-122.739737
0,,1001156968,,,,,,,,,,,,,,RB51B,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100420,20100420,49.147910,-122.732251
0,,1001157000,,,,,,,,,,,,North Bound,,WA1001,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Provincial,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100420,20100420,49.158357,-122.734562
0,,1001141739,,,,,,,,,,,,,,WA36L,,,,,,,,,,,,,,,,,,,In Service,1R05,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091127,20091127,49.173566,-122.690549
0,,1001156966,,,,,,,,,,,,,,RB51B,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2011,2008,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100420,20100420,49.148180,-122.739795
0,,1001144543,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,MOTH 71101-2005,2007,Provincial,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091224,20091224,49.106734,-122.738047
