NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
2,Riser Pocket,1000074859,27290,1196710223,100,PVC Plastic,3.05,,,,Abandoned,9215,1978,Surrey,,,,,,,,,,20051024,20091221,0,0,49.188060,-122.889991
2,Riser Pocket,1000074775,27493,1205310581,150,PVC Plastic,0.74,,,,In Service,C-4122,1989,Surrey,,LINE BSW-F,,,,,,,,20051028,20091221,1,0,49.194493,-122.887598
2,Riser Pocket,1000074995,27637,1279411313,75,PVC Plastic,1.52,,,,Abandoned,4515,1978,Surrey,,,,,,,,,,20051102,20091221,0,0,49.207747,-122.867110
2,Riser Pocket,1000074626,28125,1278711298,75,PVC Plastic,1.52,,,,Abandoned,4515,1978,Surrey,,SEE ALSO S-000-040,,,,,,,,20051123,20091221,0,0,49.207485,-122.867293
2,Riser Pocket,1000074627,28126,1278711303,75,PVC Plastic,0.46,,,,Abandoned,4515,1978,Surrey,,,,,,,,,,20051124,20091221,0,0,49.207574,-122.867292
2,Riser Pocket,1000074997,27639,1279011304,75,PVC Plastic,1.81,,,,Abandoned,4515,1978,Surrey,,,,,,,,,,20051102,20091221,0,0,49.207596,-122.867224
2,Riser Pocket,1000075086,27751,1313811635,75,PVC Plastic,0.97,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213571,-122.857573
2,Riser Pocket,1000075074,27737,1290011635,75,PVC Plastic,0.69,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213582,-122.864169
2,Riser Pocket,1000075073,27736,1288811634,100,PVC Plastic,0.35,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213566,-122.864501
2,Riser Pocket,1000075071,27733,1283611635,75,PVC Plastic,0.61,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213584,-122.865931
2,Riser Pocket,1000074749,27830,1219611286,63,PVC Plastic,0.3,,,,Abandoned,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051114,20081121,0,0,49.207282,-122.883616
