ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,1,4,Tee,1000303238,5459,1377608966,,,47.61,,,In Service,,1975,Surrey,,,,,,,,,19890524,,49.165505,-122.840104
0,1,4,Tee,1000299180,8163,1283101402,,,69.64,,,In Service,,1990,Surrey,,,,,,,,,19891130,,49.028716,-122.866533
0,1,4,Tee,1000299768,8353,1365810324,,,79.49,,,In Service,,1970,Surrey,,,,,,,,,19891213,,49.190070,-122.843258
0,1,4,Tee,1000300263,620,1479505898,,,63.67,,,In Service,,1978,Surrey,,,,,,,,,19880922,,49.109976,-122.812187
0,1,4,Tee,1000300533,13537,1681107746,,,10.67,,,In Service,,1992,Surrey,,,,,,,,,19940107,,49.143293,-122.756505
0,1,4,Tee,1000297972,3371,1452808627,,,52.61,,,In Service,,1983,Surrey,,,,,,,,,19890303,,49.159336,-122.819372
0,1,4,Tee,1000297999,3408,1470808698,,,55.88,,,In Service,,1984,Surrey,,,,,,,,,19890307,,49.160614,-122.814401
0,1,4,Tee,1000310212,16769,1423303547,250,CAS,,8.75,,In Service,12976110-00,2001,Surrey,,,Final AB,,,,,,20030424,,49.067178,-122.827844
0,1,4,Tee,1000302751,18225,1588408837,300,DI,,85.5,,In Service,7801-0264-00,2004,Surrey,,,Final AB,,,,,,20040827,,49.162802,-122.781953
0,1,4,Tee,1000306483,12344,1254210011,,,65.45,,,In Service,,1976,Surrey,,,,,,,,,19900823,,49.184448,-122.874096
0,1,4,Tee,1000306486,12347,1264310204,,,79.35,,,In Service,,1984,Surrey,,,,,,,,,19900823,,49.187931,-122.871289
0,1,4,Tee,1000306539,7027,1250610082,,,68,,,In Service,,1991,Surrey,,,,,,,,,19910906,,49.185709,-122.875066
