CITY OF SURREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN DATA 2016 YEAR TO DATE DEPARTMENT FINANCIAL INFORMATION - ACTUALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Period:  201600 - 201612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Funds: ´100´,´103´,´105´,´106´,´107´,´200´,´300´,´305´,´400´",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,REVENUES,,,,EXPENDITURES,,,,,,INTERNAL TRANSFERS,,,,,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Realty Services,0,"-87,334","-1,699,525","-1,786,859","2,119,221","2,003,214","764,459","-2,376,779","-1,893","2,508,222","-183,847","233,000","49,153","770,516",,,,,,,,,,,,,,,,
Solid Waste Operating,Engineering,N/A,0,"-39,745,484","-139,000","-39,884,484",0,"24,117,720","3,668,447","-233,147","-73,889","27,479,131","-1,842,676","14,248,029","12,405,353",0,,,,,,,,,,,,,,,,
Transportation Operating,Engineering,N/A,"-22,800,730","-96,982","-660,009","-23,557,721","5,082,107","19,415,681","14,710,486","-5,357,977","-3,818,716","30,031,581","-56,387,391","49,913,531","-6,473,860",0,,,,,,,,,,,,,,,,
Parking Operating,Engineering,N/A,0,"-2,765,759","-615,005","-3,380,764","626,275","663,553","9,893","-69,931",-875,"1,228,915","-814,614","2,966,463","2,151,849",0,,,,,,,,,,,,,,,,
Energy Operating,Engineering,N/A,0,"-283,057",0,"-283,057","371,855","254,191","166,184","-397,117",0,"395,113","-18,466,514","18,354,458","-112,056",0,,,,,,,,,,,,,,,,
Water Operating,Engineering,N/A,"-113,173","-71,090,877","-1,560,502","-72,764,552",0,"49,156,646","9,904,933","-569,579","-1,600,041","56,891,959","-16,176,396","32,048,989","15,872,593",0,,,,,,,,,,,,,,,,
Sewer Operating,Engineering,N/A,"-2,244,108","-48,014,943","-838,073","-51,097,124",0,"41,091,302","10,366,880","-7,907,885","-70,691","43,479,606","-19,217,939","26,835,457","7,617,518",0,,,,,,,,,,,,,,,,
Drainage Operating,Engineering,N/A,"-33,745,502",-25,"-388,530","-34,134,057",0,"6,163,929","6,355,650","-77,496","-36,764","12,405,319","-20,050,671","41,779,409","21,728,738",0,,,,,,,,,,,,,,,,
Surrey Public Library Operating,Library,Lib - Administration,0,"-6,854","-1,010,312","-1,017,166","857,850","282,872","26,342","-14,580","-5,051","1,147,433","-14,919,020",0,"-14,919,020","-14,788,753",,,,,,,,,,,,,,,,
Surrey Public Library Operating,Library,Lib - Public Services,0,"-248,471","-357,270","-605,741","12,423,782","2,705,066","307,813","-2,855","-39,312","15,394,494",0,0,0,"14,788,753",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,"-365,982,137","-226,755,845","-80,957,574","-673,695,556","243,521,365","352,672,660","77,282,488","-85,729,782","-12,933,959","574,812,772","-214,404,668","313,287,452","98,882,784",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS CHECK,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
