2013,,,,,,,,,,,,,,,,,,,,,,,2012,
Mo,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,Mo,
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--,
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,,
Locations on this,City Cent,,Cloverdal,,Fleetwood,,Guildford,,Newton Li,,Ocean Par,,Port Kell,,Semiahmoo,,Strawberr,,ReadAbility,,Collectio,Dec-13,Locations on this,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta,
,,,,,,,,,,,,,,,,,,,,,,,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------,
Political Science,114,,42,,33,,171,,95,,25,,8,,113,,40,,0,,0, 641 ,Political Science,
International Mig,10,,4,,6,,20,,14,,1,,1,,10,,9,,0,,0, 75 ,International Mig,
Slavery,2,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0, 3 ,Slavery,
International Rel,28,,17,,9,,82,,48,,8,,0,,54,,15,,0,,0, 261 ,International Rel,
Legislative Proce,10,,9,,6,,17,,13,,7,,3,,12,,5,,0,,0, 82 ,Legislative Proce,
Economics,95,,58,,51,,179,,134,,21,,3,,125,,49,,0,,0, 715 ,Economics,
Financial Economi,317,,171,,250,,528,,316,,102,,15,,331,,180,,0,,0," 2,210 ",Financial Economi,
Land Economics,73,,47,,30,,146,,74,,11,,7,,96,,30,,0,,0, 514 ,Land Economics,
Cooperatives,1,,3,,0,,3,,3,,0,,0,,2,,0,,0,,0, 12 ,Cooperatives,
Socialism,9,,3,,2,,13,,13,,1,,0,,4,,3,,0,,0, 48 ,Socialism,
Public Finance,8,,5,,3,,6,,6,,2,,1,,8,,2,,0,,0, 41 ,Public Finance,
International Eco,4,,1,,3,,15,,5,,3,,0,,10,,0,,0,,0, 41 ,International Eco,
Production,122,,48,,52,,216,,113,,17,,1,,143,,55,,0,,0, 767 ,Production,
Law,180,,81,,93,,320,,167,,58,,58,,175,,96,,0,,0," 1,228 ",Law,
Public Administra,17,,3,,2,,30,,10,,0,,0,,8,,4,,0,,0, 74 ,Public Administra,
Military Science,74,,39,,10,,155,,115,,15,,0,,94,,23,,0,,0, 525 ,Military Science,
Social Problems &,89,,44,,27,,170,,83,,18,,4,,85,,19,,2,,0, 541 ,Social Problems &,
Drug Abuse,317,,146,,120,,420,,307,,74,,41,,214,,94,,4,,0," 1,737 ",Drug Abuse,
Environmental Pro,56,,23,,13,,87,,57,,29,,5,,51,,26,,0,,0, 347 ,Environmental Pro,
Criminology,233,,117,,111,,342,,245,,64,,33,,218,,83,,0,,0," 1,446 ",Criminology,
Associations & Cl,2,,3,,2,,1,,3,,5,,1,,10,,0,,0,,0, 27 ,Associations & Cl,
Insurance,3,,1,,1,,10,,6,,0,,0,,0,,1,,0,,0, 22 ,Insurance,
Misc. Association,0,,1,,1,,1,,6,,0,,0,,2,,1,,0,,1, 13 ,Misc. Association,
Education,433,,83,,117,,410,,246,,45,,9,,207,,112,,0,,0," 1,662 ",Education,
Commerce,25,,13,,15,,102,,39,,13,,1,,60,,12,,0,,0, 280 ,Commerce,
Communication,8,,2,,3,,17,,17,,3,,0,,12,,4,,0,,0, 66 ,Communication,
Transportation,20,,32,,8,,97,,91,,19,,2,,53,,15,,0,,0, 337 ,Transportation,
Metrology,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 1 ,Metrology,
Customs,140,,64,,75,,232,,161,,67,,13,,169,,52,,0,,0, 973 ,Customs,
Folklore,62,,30,,21,,107,,89,,7,,2,,57,,32,,0,,0, 407 ,Folklore,
Customs Of War,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Customs Of War,
Languages,4,,2,,4,,14,,4,,1,,0,,12,,1,,0,,0, 42 ,Languages,
Linguistics,37,,12,,16,,41,,29,,10,,3,,37,,9,,0,,0, 194 ,Linguistics,
English Language,116,,43,,48,,106,,89,,20,,7,,128,,36,,0,,0, 593 ,English Language,
Germanic Language,29,,9,,7,,18,,13,,2,,0,,18,,6,,0,,0, 102 ,Germanic Language,
Romance Languages,64,,23,,25,,43,,28,,12,,6,,38,,19,,0,,0, 258 ,Romance Languages,
Italian Language,19,,3,,5,,12,,6,,2,,0,,14,,2,,0,,0, 63 ,Italian Language,
Spanish Language,71,,18,,22,,40,,34,,14,,3,,36,,17,,0,,0, 255 ,Spanish Language,
Portuguese Langua,12,,1,,2,,5,,1,,0,,0,,4,,0,,0,,0, 25 ,Portuguese Langua,
Latin Language,4,,1,,0,,5,,1,,0,,0,,1,,2,,0,,0, 14 ,Latin Language,
Hellenic Language,5,,2,,0,,2,,1,,0,,0,,4,,0,,0,,0, 14 ,Hellenic Language,
Other Languages,336,,47,,73,,226,,194,,17,,1,,121,,98,,0,,0," 1,113 ",Other Languages,
Science,83,,21,,24,,74,,47,,19,,3,,79,,16,,0,,0, 366 ,Science,
Mathematics,142,,66,,88,,134,,96,,28,,13,,90,,58,,0,,0, 715 ,Mathematics,
Astronomy,39,,12,,2,,31,,38,,20,,0,,44,,11,,0,,0, 197 ,Astronomy,
Planets,8,,2,,0,,5,,3,,0,,0,,1,,2,,0,,0, 21 ,Planets,
Meteors,5,,3,,3,,9,,9,,2,,0,,6,,0,,0,,0, 37 ,Meteors,
Physics,67,,22,,24,,41,,39,,20,,4,,65,,22,,0,,0, 304 ,Physics,
Chemistry,43,,22,,21,,29,,26,,7,,2,,32,,14,,0,,0, 196 ,Chemistry,
Earth Sciences,19,,7,,9,,16,,9,,3,,0,,13,,9,,0,,0, 85 ,Earth Sciences,
Surface Processes,58,,15,,18,,53,,43,,14,,2,,55,,10,,0,,0, 268 ,Surface Processes,
Paleontology,2,,3,,1,,6,,5,,0,,0,,6,,2,,0,,0, 25 ,Paleontology,
Dinosaurs,11,,12,,1,,14,,5,,2,,2,,15,,3,,0,,0, 65 ,Dinosaurs,
Life Sciences,106,,31,,38,,126,,93,,32,,3,,74,,33,,0,,0, 536 ,Life Sciences,
Plants,39,,21,,26,,62,,43,,13,,3,,64,,13,,0,,0, 284 ,Plants,
Animals,189,,101,,106,,294,,167,,85,,14,,177,,77,,0,,0," 1,210 ",Animals,
Technology,20,,7,,5,,21,,18,,3,,1,,12,,5,,0,,0, 92 ,Technology,
Medical Sciences,776,,349,,463,,807,,679,,249,,99,,662,,450,,0,,0," 4,534 ",Medical Sciences,
Disease,889,,441,,446,,881,,723,,213,,53,,569,,502,,0,,0," 4,717 ",Disease,
Medical Specialti,206,,122,,117,,227,,172,,34,,14,,150,,127,,0,,0," 1,169 ",Medical Specialti,
Engineering,19,,5,,6,,16,,10,,2,,0,,8,,2,,0,,0, 68 ,Engineering,
Elictricity & Ele,129,,79,,69,,278,,113,,39,,8,,114,,39,,0,,0, 868 ,Elictricity & Ele,
Civil Engineering,15,,3,,7,,21,,12,,2,,1,,9,,2,,0,,0, 72 ,Civil Engineering,
Hydraulic Enginee,11,,5,,2,,13,,9,,6,,0,,11,,5,,0,,0, 62 ,Hydraulic Enginee,
Aerospace Enginee,15,,13,,3,,35,,22,,10,,0,,20,,6,,0,,0, 124 ,Aerospace Enginee,
Automotive Engine,218,,140,,121,,362,,201,,23,,21,,199,,90,,0,,0," 1,375 ",Automotive Engine,
Astronautics,18,,7,,5,,29,,17,,6,,0,,20,,1,,0,,0, 103 ,Astronautics,
Agriculture,60,,37,,16,,75,,39,,16,,9,,37,,21,,1,,0, 311 ,Agriculture,
Gardening,273,,213,,177,,301,,244,,143,,72,,326,,175,,0,,0," 1,924 ",Gardening,
Animal Husbandry,312,,213,,136,,505,,196,,85,,79,,290,,134,,0,,0," 1,950 ",Animal Husbandry,
Hunting / Fishing,39,,21,,23,,41,,24,,13,,3,,29,,13,,0,,0, 206 ,Hunting / Fishing,
Home Economics,63,,31,,29,,61,,49,,10,,14,,63,,28,,0,,0, 348 ,Home Economics,
Food & Drink,130,,54,,48,,104,,71,,25,,12,,128,,20,,0,,0, 592 ,Food & Drink,
Cookery,1674,,840,,851,,1415,,1098,,536,,244,,1379,,588,,0,,0," 8,625 ",Cookery,
Meals & Table Ser,16,,15,,9,,21,,20,,19,,2,,28,,5,,0,,0, 135 ,Meals & Table Ser,
Household Managem,431,,258,,245,,491,,342,,130,,33,,410,,198,,0,,0," 2,538 ",Household Managem,
Hotel Management,70,,40,,40,,93,,51,,22,,13,,67,,32,,0,,0, 428 ,Hotel Management,
Child Rearing,284,,172,,157,,394,,251,,53,,39,,262,,151,,0,,0," 1,763 ",Child Rearing,
Management,178,,58,,53,,152,,89,,31,,2,,132,,52,,0,,0, 747 ,Management,
"Resumes, Careers",217,,104,,133,,175,,165,,29,,14,,163,,97,,0,,0," 1,097 ","Resumes, Careers",
Office Services,62,,23,,21,,47,,46,,14,,1,,40,,21,,0,,0, 275 ,Office Services,
General Managemen,397,,127,,169,,555,,288,,56,,13,,383,,127,,0,,1," 2,116 ",General Managemen,
Advertising,13,,7,,5,,29,,14,,3,,1,,14,,7,,0,,0, 93 ,Advertising,
Chemical Engineer,20,,19,,10,,48,,15,,7,,0,,22,,6,,0,,0, 147 ,Chemical Engineer,
Manufacturing,17,,7,,7,,36,,19,,4,,0,,11,,2,,0,,0, 103 ,Manufacturing,
Specific Manufact,5,,6,,2,,12,,2,,1,,1,,7,,2,,0,,0, 38 ,Specific Manufact,
Hardware & Househ,11,,4,,4,,23,,18,,0,,0,,15,,2,,0,,0, 77 ,Hardware & Househ,
Furnishings / Hom,48,,52,,37,,105,,60,,22,,5,,66,,21,,0,,0, 416 ,Furnishings / Hom,
Leather & Fur Pro,19,,2,,8,,16,,9,,5,,0,,10,,3,,0,,0, 72 ,Leather & Fur Pro,
Clothing,14,,8,,3,,20,,15,,5,,0,,4,,1,,0,,0, 70 ,Clothing,
Building,74,,61,,54,,103,,66,,31,,18,,81,,37,,0,,0, 525 ,Building,
Carpentry,23,,19,,11,,26,,21,,10,,3,,12,,6,,0,,0, 131 ,Carpentry,
Roofs,20,,13,,19,,22,,21,,6,,4,,18,,13,,0,,0, 136 ,Roofs,
Heating & Ventila,14,,15,,19,,43,,34,,9,,0,,21,,10,,0,,0, 165 ,Heating & Ventila,
The Arts,128,,57,,53,,144,,133,,53,,1,,202,,41,,0,,0, 812 ,The Arts,
Civic & Landscape,47,,41,,22,,60,,47,,48,,10,,131,,33,,0,,0, 439 ,Civic & Landscape,
Architecture,63,,53,,57,,185,,106,,45,,4,,161,,39,,0,,0, 713 ,Architecture,
Sculpture,38,,14,,14,,55,,41,,21,,4,,36,,17,,0,,0, 240 ,Sculpture,
Numismatics,12,,6,,4,,14,,8,,4,,2,,3,,6,,0,,0, 59 ,Numismatics,
Ceramic Arts,36,,21,,13,,82,,27,,18,,5,,61,,19,,0,,0, 282 ,Ceramic Arts,
Drawomg,151,,68,,83,,184,,126,,70,,9,,180,,40,,0,,0, 911 ,Drawomg,
Handicrafts,189,,124,,116,,250,,133,,73,,23,,188,,88,,0,,0," 1,184 ",Handicrafts,
Calligraphy,28,,36,,13,,74,,33,,13,,0,,50,,9,,0,,0, 256 ,Calligraphy,
Textile Arts,368,,213,,184,,399,,245,,153,,31,,320,,171,,0,,0," 2,084 ",Textile Arts,
Interior Decorati,150,,106,,107,,256,,151,,91,,23,,231,,121,,0,,0," 1,236 ",Interior Decorati,
Painting,142,,111,,83,,265,,143,,113,,14,,330,,74,,0,,0," 1,275 ",Painting,
Graphic Arts,16,,6,,3,,30,,13,,8,,0,,21,,6,,0,,0, 103 ,Graphic Arts,
Photography,125,,49,,57,,127,,82,,53,,10,,117,,49,,0,,0, 669 ,Photography,
Music,310,,66,,62,,345,,175,,50,,7,,253,,96,,0,,0," 1,364 ",Music,
Instrumental Musi,23,,3,,0,,50,,17,,4,,0,,6,,1,,0,,0, 104 ,Instrumental Musi,
Ensembles,136,,50,,30,,110,,53,,20,,1,,152,,18,,0,,0, 570 ,Ensembles,
Recreational & Pe,21,,8,,7,,35,,17,,5,,0,,14,,5,,0,,0, 112 ,Recreational & Pe,
"Movies, Radio, Tv",105,,33,,39,,146,,83,,26,,5,,111,,50,,0,,0, 598 ,"Movies, Radio, Tv",
Puppetry,7,,3,,3,,14,,3,,1,,0,,1,,2,,0,,0, 34 ,Puppetry,
Stage Presentatio,46,,12,,13,,55,,36,,11,,1,,32,,16,,0,,0, 222 ,Stage Presentatio,
Indoor Games,28,,21,,14,,48,,41,,20,,2,,38,,23,,0,,0, 235 ,Indoor Games,
Indoor Games Of S,54,,49,,42,,51,,40,,24,,1,,43,,20,,0,,0, 324 ,Indoor Games Of S,
Athletic & Outdoo,40,,21,,10,,40,,36,,10,,3,,25,,24,,0,,0, 209 ,Athletic & Outdoo,
Ball Games,101,,54,,46,,124,,111,,46,,3,,105,,45,,0,,0, 635 ,Ball Games,
Misc. Sports,22,,20,,17,,34,,28,,6,,4,,23,,17,,0,,0, 171 ,Misc. Sports,
Outdoor Life,40,,29,,21,,67,,35,,24,,3,,43,,19,,0,,0, 281 ,Outdoor Life,
Cycling,20,,12,,11,,20,,18,,14,,0,,23,,10,,0,,0, 128 ,Cycling,
Automotive Sports,10,,3,,3,,11,,12,,0,,0,,8,,2,,0,,0, 49 ,Automotive Sports,
Combat Sports,40,,13,,17,,31,,46,,7,,0,,31,,15,,0,,0, 200 ,Combat Sports,
Ice And Snow Spor,69,,39,,22,,95,,76,,24,,8,,75,,30,,0,,0, 438 ,Ice And Snow Spor,
Aquatic Sports,32,,23,,21,,62,,54,,41,,2,,54,,10,,0,,0, 299 ,Aquatic Sports,
Air Sports,2,,0,,0,,0,,3,,0,,0,,2,,1,,0,,0, 8 ,Air Sports,
Equestrian Sports,7,,19,,3,,12,,7,,4,,2,,10,,1,,0,,0, 65 ,Equestrian Sports,
"Fishing, Huntiing",24,,17,,19,,40,,18,,11,,3,,22,,4,,0,,0, 158 ,"Fishing, Huntiing",
Literature,9,,2,,3,,6,,3,,0,,0,,12,,4,,0,,0, 39 ,Literature,
Rhetoric,324,,117,,120,,406,,209,,65,,12,,290,,137,,0,,0," 1,680 ",Rhetoric,
American Literatu,369,,112,,120,,447,,225,,86,,19,,282,,89,,0,,0," 1,749 ",American Literatu,
English Literatur,174,,65,,39,,218,,126,,48,,6,,162,,61,,0,,0, 899 ,English Literatur,
Germanic Literatu,17,,0,,1,,10,,6,,3,,0,,12,,2,,0,,0, 51 ,Germanic Literatu,
French Literature,14,,1,,2,,8,,4,,2,,1,,19,,2,,0,,0, 53 ,French Literature,
Italian Literatur,7,,0,,0,,10,,5,,4,,0,,10,,1,,0,,0, 37 ,Italian Literatur,
Spanish Literatur,21,,0,,2,,14,,10,,1,,0,,7,,0,,0,,0, 55 ,Spanish Literatur,
Portuguese Litera,1,,0,,1,,1,,0,,1,,0,,1,,0,,0,,0, 5 ,Portuguese Litera,
Latin Literature,2,,0,,0,,3,,3,,1,,0,,8,,0,,0,,0, 17 ,Latin Literature,
Classical Greek L,16,,5,,4,,29,,8,,8,,1,,25,,7,,0,,0, 103 ,Classical Greek L,
Other Literatures,240,,30,,125,,120,,320,,0,,0,,8,,502,,0,,0," 1,345 ",Other Literatures,
Iranian & Celtic,5,,2,,0,,6,,6,,3,,0,,7,,4,,0,,0, 33 ,Iranian & Celtic,
East Slavic Liter,7,,1,,0,,9,,3,,4,,0,,12,,0,,0,,0, 36 ,East Slavic Liter,
Afro-asian Litera,8,,2,,2,,5,,6,,1,,0,,3,,5,,0,,0, 32 ,Afro-asian Litera,
East Asian Litera,9,,0,,0,,16,,6,,1,,0,,7,,3,,0,,0, 42 ,East Asian Litera,
Japanese Literatu,4,,0,,1,,12,,3,,2,,0,,4,,0,,0,,0, 26 ,Japanese Literatu,
African Literatur,0,,0,,0,,2,,0,,0,,0,,1,,0,,0,,0, 3 ,African Literatur,
Geography & Histo,62,,25,,12,,123,,50,,32,,4,,73,,20,,0,,0, 401 ,Geography & Histo,
Geography & Trave,185,,87,,107,,213,,134,,67,,16,,189,,49,,0,,0," 1,047 ",Geography & Trave,
Europe,459,,145,,238,,421,,244,,125,,12,,400,,88,,0,,0," 2,132 ",Europe,
Asia,190,,66,,78,,191,,153,,49,,2,,189,,55,,0,,0, 973 ,Asia,
Africa,52,,19,,29,,64,,41,,13,,0,,63,,9,,0,,0, 290 ,Africa,
North America,549,,191,,291,,584,,363,,137,,41,,463,,139,,0,,0," 2,758 ",North America,
South America,48,,17,,24,,61,,41,,20,,2,,42,,8,,0,,0, 263 ,South America,
Other Areas,96,,37,,52,,108,,49,,29,,7,,104,,32,,0,,0, 514 ,Other Areas,
Genealogy,95,,80,,36,,84,,74,,20,,10,,69,,61,,0,,0, 529 ,Genealogy,
Ancient History,40,,39,,30,,88,,76,,29,,2,,89,,30,,0,,0, 423 ,Ancient History,
European History,20,,9,,6,,32,,23,,16,,1,,30,,10,,0,,0, 147 ,European History,
World War I,37,,25,,15,,70,,38,,16,,2,,40,,11,,0,,0, 254 ,World War I,
World War Ii,132,,87,,62,,238,,167,,80,,7,,153,,51,,0,,0, 977 ,World War Ii,
British  History,57,,30,,16,,133,,68,,46,,0,,83,,16,,0,,0, 449 ,British  History,
Central European,29,,10,,8,,53,,30,,8,,0,,31,,10,,0,,0, 179 ,Central European,
French History,16,,6,,6,,32,,23,,13,,0,,24,,3,,0,,0, 123 ,French History,
Italian History,11,,7,,6,,19,,11,,8,,0,,24,,3,,0,,0, 89 ,Italian History,
Spanish History,4,,4,,0,,6,,6,,2,,0,,8,,0,,0,,0, 30 ,Spanish History,
Russian History,15,,13,,2,,38,,22,,8,,1,,12,,5,,0,,0, 116 ,Russian History,
Scandinavian Hist,7,,9,,2,,38,,13,,7,,0,,13,,2,,0,,0, 91 ,Scandinavian Hist,
Asian History,26,,25,,11,,69,,32,,21,,3,,43,,7,,0,,0, 237 ,Asian History,
Japanese History,4,,3,,5,,16,,9,,6,,1,,12,,6,,0,,0, 62 ,Japanese History,
Arabian History,3,,1,,0,,5,,4,,3,,0,,4,,2,,0,,0, 22 ,Arabian History,
Indian History,86,,23,,37,,51,,148,,8,,0,,38,,176,,0,,0, 567 ,Indian History,
Iranian History,67,,25,,14,,89,,62,,39,,1,,80,,17,,0,,0, 394 ,Iranian History,
Siberian History,0,,1,,0,,3,,1,,0,,0,,1,,1,,0,,0, 7 ,Siberian History,
Central Asian His,29,,15,,11,,35,,22,,17,,5,,35,,15,,0,,0, 184 ,Central Asian His,
Se Asian History,8,,7,,4,,22,,12,,5,,0,,10,,4,,0,,0, 72 ,Se Asian History,
African History,17,,13,,7,,46,,31,,15,,1,,30,,16,,0,,0, 176 ,African History,
North American Hi,19,,26,,7,,51,,34,,11,,4,,28,,17,,0,,0, 197 ,North American Hi,
Canadian History,85,,89,,41,,241,,162,,45,,9,,151,,67,,0,,0, 890 ,Canadian History,
British Columbian,95,,125,,60,,251,,205,,69,,20,,121,,44,,0,,0, 990 ,British Columbian,
Prairie Provinces,12,,17,,11,,48,,51,,10,,0,,28,,5,,0,,0, 182 ,Prairie Provinces,
Ontario History,5,,10,,1,,11,,6,,1,,0,,3,,0,,0,,0, 37 ,Ontario History,
Quebec History,4,,7,,0,,25,,15,,3,,0,,6,,2,,0,,0, 62 ,Quebec History,
Atlantic Province,4,,13,,1,,25,,16,,3,,1,,8,,2,,0,,0, 73 ,Atlantic Province,
Northern Territor,10,,7,,1,,28,,21,,8,,1,,22,,4,,0,,0, 102 ,Northern Territor,
Mexican History,26,,8,,5,,34,,22,,7,,0,,35,,7,,0,,0, 144 ,Mexican History,
U.s. History,127,,53,,53,,187,,142,,48,,11,,147,,55,,0,,0, 823 ,U.s. History,
U.s. Pacific Slop,26,,18,,14,,51,,56,,17,,0,,60,,15,,0,,0, 257 ,U.s. Pacific Slop,
South American Hi,9,,7,,7,,21,,19,,4,,0,,23,,5,,0,,0, 95 ,South American Hi,
Other Areas Histo,6,,3,,1,,14,,11,,3,,0,,11,,0,,0,,0, 49 ,Other Areas Histo,
Extraterrestrial,329,,131,,129,,455,,359,,66,,32,,247,,129,,0,,0," 1,877 ",Extraterrestrial,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,20963,,9884,,9632,,25818,,17584,,5929,,1647,,19230,,9114,,7,,5," 119,813 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Philosophy & Psyc,1277,,375,,676,,1045,,1130,,62,,5,,695,,858,,0,,1," 6,124 ",Philosophy & Psyc,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,1277,,375,,676,,1045,,1130,,62,,5,,695,,858,,0,,1," 6,124 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,1,,0,,1,,5,,3,,0,,0,,1,,0,,0,,0, 11 ,Generalities,
Philosophy & Psyc,4,,1,,2,,11,,2,,1,,0,,3,,0,,0,,0, 24 ,Philosophy & Psyc,
Religion,3,,2,,3,,2,,2,,0,,0,,2,,0,,0,,0, 14 ,Religion,
Social Sciences,31,,11,,8,,20,,8,,5,,2,,10,,1,,0,,0, 96 ,Social Sciences,
Languages,2,,0,,1,,6,,4,,0,,0,,4,,0,,0,,0, 17 ,Languages,
Science & Mathema,1,,0,,1,,1,,1,,0,,0,,1,,0,,0,,0, 5 ,Science & Mathema,
Technology & Medi,20,,7,,9,,29,,12,,2,,0,,8,,1,,0,,0, 88 ,Technology & Medi,
The Arts / Sports,10,,2,,2,,10,,2,,2,,0,,6,,1,,0,,0, 35 ,The Arts / Sports,
Literature,15,,2,,6,,13,,9,,4,,0,,11,,0,,0,,0, 60 ,Literature,
Geography & Histo,13,,3,,12,,35,,7,,1,,0,,8,,0,,0,,0, 79 ,Geography & Histo,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,100,,28,,45,,132,,50,,15,,2,,54,,3,,0,,0, 429 ,Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Generalities,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,296,,219,,361,,632,,211,,314,,17,,451,,251,,0,,0," 2,752 ",Generalities,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,296,,219,,361,,632,,211,,314,,17,,451,,251,,0,,0," 2,752 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,62,,24,,49,,70,,48,,33,,12,,60,,43,,0,,0, 401 ,Generalities,
Computers,153,,54,,107,,120,,99,,52,,24,,112,,107,,0,,0, 828 ,Computers,
Journalism,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Journalism,
Philosophy,0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0, 2 ,Philosophy,
Paranormal,1,,1,,1,,1,,1,,0,,0,,1,,2,,0,,0, 8 ,Paranormal,
Parapsychology,32,,14,,20,,29,,14,,18,,2,,24,,32,,0,,0, 185 ,Parapsychology,
Dreams & Mysterie,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Dreams & Mysterie,
"Graphology, Physi",0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0, 2 ,"Graphology, Physi",
Psychology,27,,8,,21,,55,,28,,16,,6,,27,,21,,0,,0, 209 ,Psychology,
Applied Psycholog,20,,3,,9,,22,,13,,8,,2,,16,,11,,0,,0, 104 ,Applied Psycholog,
Logic & Ethics,11,,5,,15,,26,,11,,7,,1,,15,,11,,0,,0, 102 ,Logic & Ethics,
Oriental Philosop,1,,0,,1,,3,,2,,0,,0,,4,,1,,0,,0, 12 ,Oriental Philosop,
Modern Western Ph,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Modern Western Ph,
Religion,12,,8,,10,,18,,11,,6,,1,,16,,11,,0,,0, 93 ,Religion,
