2013,,,,,,,,,,,,,,,,,,,,,,,2012,
Mo,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,Mo,
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--,
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,,
Locations on this,City Cent,,Cloverdal,,Fleetwood,,Guildford,,Newton Li,,Ocean Par,,Port Kell,,Semiahmoo,,Strawberr,,ReadAbility,,Collectio,Dec-13,Locations on this,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta,
,,,,,,,,,,,,,,,,,,,,,,,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------,
Jr. Spanish - Fic,33,,0,,12,,21,,25,,4,,0,,33,,0,,0,,0, 128 ,Jr. Spanish - Fic,
Jr. Spanish - Non,1,,0,,2,,1,,2,,0,,0,,11,,0,,0,,0, 17 ,Jr. Spanish - Non,
Jr Picture Book,8975,,4254,,6846,,10148,,4231,,4505,,1246,,9483,,4625,,0,,0," 54,313 ",Jr Picture Book,
Jr. Picture Books,83,,40,,42,,85,,48,,52,,2,,56,,38,,0,,0, 446 ,Jr. Picture Books,
Jr. Picture Book,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Jr. Picture Book,
Jr Reference,158,,200,,145,,230,,124,,79,,25,,217,,206,,0,,0," 1,384 ",Jr Reference,
Jr Reader Fiction,1614,,865,,896,,1617,,800,,589,,165,,1062,,732,,0,,0," 8,340 ",Jr Reader Fiction,
Jr French Ref,31,,15,,16,,17,,15,,15,,0,,16,,16,,0,,0, 141 ,Jr French Ref,
Jr Office,303,,214,,106,,274,,398,,162,,37,,214,,340,,0,,0," 2,048 ",Jr Office,
Jr Tape Fiction,2,,2,,0,,2,,0,,1,,5,,1,,1,,0,,0, 14 ,Jr Tape Fiction,
Jr Tape Nonfic,0,,0,,0,,0,,1,,1,,0,,0,,1,,0,,0, 3 ,Jr Tape Nonfic,
Jr Video Fiction,53,,13,,17,,26,,42,,0,,22,,13,,18,,0,,0, 204 ,Jr Video Fiction,
Jr. Video French,3,,1,,5,,2,,5,,3,,0,,10,,2,,0,,0, 31 ,Jr. Video French,
Jr. Video Nonfict,10,,11,,11,,26,,17,,1,,26,,7,,7,,0,,5, 121 ,Jr. Video Nonfict,
Jr. Video French,0,,0,,2,,0,,1,,1,,0,,1,,0,,0,,0, 5 ,Jr. Video French,
Computer Kits,3,,3,,0,,6,,5,,0,,0,,5,,0,,0,,0, 22 ,Computer Kits,
Elt Kits Fiction,154,,99,,124,,147,,154,,28,,1,,137,,144,,0,,0, 988 ,Elt Kits Fiction,
Elt Kits Nonficti,303,,61,,110,,209,,208,,12,,0,,102,,187,,0,,0," 1,192 ",Elt Kits Nonficti,
Kits,435,,113,,150,,308,,214,,73,,20,,239,,131,,0,,0," 1,683 ",Kits,
Storytime Kit,26,,6,,8,,14,,10,,1,,0,,5,,3,,0,,0, 73 ,Storytime Kit,
Legal Books,145,,99,,100,,258,,122,,63,,76,,128,,88,,1,,0," 1,080 ",Legal Books,
Large Print Ficti,2520,,890,,602,,2028,,1605,,964,,11,,1790,,615,,0,,0," 11,025 ",Large Print Ficti,
Large Print Nonfi,283,,86,,169,,321,,194,,144,,1,,454,,45,,0,,0," 1,697 ",Large Print Nonfi,
Magazine,2669,,2463,,1837,,4941,,3405,,1929,,788,,3099,,2342,,0,,0," 23,473 ",Magazine,
Magazine - Geneal,0,,429,,0,,0,,0,,0,,0,,0,,0,,0,,0, 429 ,Magazine - Geneal,
Magazine - Other,220,,0,,36,,249,,228,,1,,0,,70,,188,,0,,0, 992 ,Magazine - Other,
Magazine - Refere,107,,35,,44,,354,,45,,36,,16,,41,,28,,0,,198, 904 ,Magazine - Refere,
Nonfiction,19877,,9728,,9065,,24843,,16240,,5995,,1609,,19057,,7447,,6,,6," 113,873 ",Nonfiction,
