,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,2017
Mo,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,Mo
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,
Locations on this,City Centre,,Cloverdale,,Fleetwood,,Guildford,,Newton,,Ocean Park,,Port Kells,,Semiahmoo,,Strawberry Hill,,ReadAbility,,CS,Jan-18,Locations on this
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta
,,,,,,,,,,,,,,,,,,,,,,,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------
Jr DVD Fremch Fic,68,,36,,34,,67,,84,,30,,6,,64,,39,,0,,0, 428 ,Jr DVD Fremch Fic
Jr DVD Nonfiction,721,,424,,429,,614,,521,,374,,85,,452,,425,,0,,0," 4,045 ",Jr DVD Nonfiction
Children's DVD -,53,,33,,23,,46,,31,,30,,18,,35,,41,,0,,0,,Children's DVD -
Jr Engl Lang Trai,21,,4,,7,,30,,21,,1,,0,,8,,9,,0,,0, 101 ,Jr Engl Lang Trai
Jr. Circulating E,41,,22,,56,,124,,51,,0,,0,,1,,7,,0,,0, 302 ,Jr. Circulating E
Jr Fiction,2887,,1044,,1821,,2926,,1911,,968,,219,,2518,,1003,,0,,0," 15,297 ",Jr Fiction
Jr French Fiction,341,,231,,237,,302,,320,,151,,25,,254,,143,,0,,0," 2,004 ",Jr French Fiction
Jr Folk & Fairy T,650,,176,,449,,710,,313,,266,,46,,655,,391,,0,,0," 3,656 ",Jr Folk & Fairy T
Children's Graphi,1815,,960,,974,,1687,,1207,,676,,311,,1097,,819,,0,,0,,Children's Graphi
Jr. Fiction - Pap,2073,,817,,1493,,1858,,1772,,713,,148,,1305,,920,,0,,0," 11,099 ",Jr. Fiction - Pap
Preteen Fiction,1444,,549,,903,,1438,,828,,701,,118,,946,,730,,0,,0," 7,657 ",Preteen Fiction
Preteen Fiction -,956,,343,,574,,727,,436,,536,,50,,512,,354,,0,,0," 4,488 ",Preteen Fiction -
Jr Step Up,1058,,900,,1197,,1826,,1152,,764,,258,,1217,,884,,0,,0," 9,256 ",Jr Step Up
Jr. Step up - Pap,1706,,1406,,2106,,3106,,2155,,1135,,524,,1814,,1812,,0,,0," 15,764 ",Jr. Step up - Pap
Jr Board Books,1746,,1338,,1426,,1405,,1397,,810,,138,,1669,,1025,,0,,0," 10,954 ",Jr Board Books
Jr CD Other Lang,28,,12,,26,,57,,16,,0,,0,,42,,12,,0,,0, 193 ,Jr CD Other Lang
Jr Generic French,750,,584,,477,,389,,599,,351,,39,,534,,274,,0,,0," 3,997 ",Jr Generic French
Jr Generic Kit,421,,252,,402,,430,,273,,181,,48,,208,,255,,0,,0," 2,470 ",Jr Generic Kit
Jr Generic Kit -,65,,18,,28,,47,,18,,4,,0,,10,,4,,0,,0, 194 ,Jr Generic Kit -
Jr Generic Kit O,12,,5,,15,,13,,9,,1,,0,,6,,2,,0,,0, 63 ,Jr Generic Kit O
Jr. Magazine - Ge,3,,0,,26,,0,,0,,34,,0,,0,,0,,0,,0, 63 ,Jr. Magazine - Ge
Jr. Generic Arabi,26,,0,,0,,89,,8,,0,,0,,0,,18,,0,,0, 141 ,Jr. Generic Arabi
Jr. Generic Chine,102,,76,,215,,413,,107,,23,,0,,219,,88,,0,,0," 1,243 ",Jr. Generic Chine
Jr. Generic Dutch,0,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0, 4 ,Jr. Generic Dutch
Jr. Generic Farsi,13,,0,,0,,0,,14,,0,,0,,0,,0,,0,,0, 27 ,Jr. Generic Farsi
Jr. Generic Germa,4,,0,,0,,31,,9,,0,,0,,29,,0,,0,,0, 73 ,Jr. Generic Germa
Jr. Generic Gujar,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Jr. Generic Gujar
Jr. Generic Hinda,11,,0,,41,,20,,24,,0,,0,,0,,35,,0,,0, 131 ,Jr. Generic Hinda
Jr. Generic Japan,8,,0,,0,,61,,7,,0,,0,,0,,0,,0,,0, 76 ,Jr. Generic Japan
Jr. Generic - Kor,70,,21,,117,,187,,11,,0,,0,,84,,0,,0,,0, 490 ,Jr. Generic - Kor
Jr. Generic - Pan,59,,30,,105,,27,,88,,0,,0,,0,,124,,0,,0, 433 ,Jr. Generic - Pan
Jr. Generic - Pol,3,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0, 13 ,Jr. Generic - Pol
Jr. Generic Russi,14,,0,,0,,0,,0,,0,,0,,9,,0,,0,,0, 23 ,Jr. Generic Russi
Jr. Generic Spani,17,,0,,13,,17,,6,,0,,0,,20,,0,,0,,0, 73 ,Jr. Generic Spani
Jr. Generic Tagal,10,,0,,0,,31,,0,,0,,0,,0,,0,,0,,0, 41 ,Jr. Generic Tagal
Jr. Generic Urdu,0,,0,,0,,9,,5,,0,,0,,0,,15,,0,,0, 29 ,Jr. Generic Urdu
Jr. Generic Vietn,6,,0,,16,,38,,22,,0,,0,,0,,0,,0,,0, 82 ,Jr. Generic Vietn
Jr Paperbacks,1208,,808,,1133,,2551,,1824,,585,,292,,1396,,935,,0,,0," 10,732 ",Jr Paperbacks
Jr Generic Reader,3527,,2345,,3309,,5050,,4083,,1467,,654,,2662,,3163,,0,,0," 26,260 ",Jr Generic Reader
Jr GenericVid OL,55,,7,,21,,51,,15,,0,,0,,45,,18,,0,,0, 212 ,Jr GenericVid OL
Jr Elt Kit Nonfic,3,,3,,1,,3,,3,,2,,1,,3,,2,,0,,0, 21 ,Jr Elt Kit Nonfic
Jr Kit Fiction,2,,2,,1,,2,,2,,1,,1,,0,,3,,0,,0, 14 ,Jr Kit Fiction
Jr Kit Nonfiction,15,,14,,12,,29,,17,,15,,0,,25,,14,,0,,0, 141 ,Jr Kit Nonfiction
Jr. Magazine,199,,89,,287,,476,,156,,163,,132,,212,,198,,0,,0," 1,912 ",Jr. Magazine
Jr. Magazine - Fr,0,,0,,17,,0,,55,,1,,0,,0,,0,,0,,0, 73 ,Jr. Magazine - Fr
Jr Nonfiction,8330,,3205,,6034,,11320,,6666,,3114,,934,,6791,,5690,,1,,0," 52,085 ",Jr Nonfiction
Jr Easy Nonfic,1987,,909,,1345,,2915,,1113,,938,,209,,1496,,803,,0,,0," 11,715 ",Jr Easy Nonfic
Jr French Nonfic,371,,186,,253,,174,,233,,163,,8,,309,,89,,0,,0," 1,786 ",Jr French Nonfic
Jr. Bilingual Boo,349,,123,,275,,652,,395,,76,,2,,222,,399,,0,,0," 2,493 ",Jr. Bilingual Boo
Jr. Spanish - Fic,28,,0,,21,,32,,26,,0,,0,,27,,1,,0,,0, 135 ,Jr. Spanish - Fic
Jr. Spanish - Non,1,,0,,2,,2,,2,,0,,0,,4,,0,,0,,0, 11 ,Jr. Spanish - Non
Jr Picture Book,8858,,4286,,7322,,10194,,5496,,4342,,1202,,10263,,4552,,0,,0," 56,515 ",Jr Picture Book
Jr. Picture Books,275,,163,,161,,233,,251,,125,,19,,208,,118,,0,,0," 1,553 ",Jr. Picture Books
Jr Reference,131,,122,,87,,214,,73,,47,,3,,137,,153,,0,,0, 967 ,Jr Reference
Jr Reader Fiction,1387,,844,,1087,,1476,,939,,656,,154,,1076,,712,,0,,0," 8,331 ",Jr Reader Fiction
Jr French Ref,31,,15,,0,,1,,15,,15,,0,,1,,0,,0,,0, 78 ,Jr French Ref
Jr Office,280,,282,,104,,185,,229,,206,,25,,225,,368,,0,,0," 1,904 ",Jr Office
Jr Video Fiction,12,,3,,3,,6,,9,,0,,0,,0,,2,,0,,0, 35 ,Jr Video Fiction
Jr. Video Nonfict,4,,2,,0,,4,,1,,0,,1,,2,,0,,0,,0, 14 ,Jr. Video Nonfict
Computer Kits,2,,2,,0,,5,,2,,0,,0,,0,,0,,0,,0, 11 ,Computer Kits
Elt Kits Fiction,133,,67,,56,,131,,136,,18,,1,,109,,77,,0,,0, 728 ,Elt Kits Fiction
Elt Kits Nonficti,240,,72,,89,,195,,175,,22,,5,,113,,157,,0,,0," 1,068 ",Elt Kits Nonficti
Kits,428,,97,,121,,245,,187,,71,,21,,97,,119,,0,,0," 1,386 ",Kits
Storytime Kit,28,,7,,9,,17,,11,,1,,0,,7,,5,,0,,0, 85 ,Storytime Kit
Legal Books,40,,26,,26,,87,,42,,18,,8,,3,,23,,0,,0, 273 ,Legal Books
Large Print Ficti,2785,,892,,613,,1952,,1598,,1014,,123,,1137,,672,,0,,0," 10,786 ",Large Print Ficti
Large Print Nonfi,458,,83,,131,,319,,216,,146,,16,,215,,76,,0,,0," 1,660 ",Large Print Nonfi
Magazine,2420,,1461,,1472,,4290,,3450,,1236,,807,,2648,,2394,,0,,0," 20,178 ",Magazine
Magazine - Geneal,0,,286,,0,,0,,0,,0,,0,,0,,0,,0,,0, 286 ,Magazine - Geneal
Magazine - Other,360,,0,,60,,447,,477,,0,,0,,59,,471,,0,,0," 1,874 ",Magazine - Other
Magazine - Refere,114,,60,,46,,57,,31,,38,,16,,28,,38,,0,,0, 428 ,Magazine - Refere
Nonfiction,20690,,8849,,9201,,23902,,15586,,5679,,1724,,14985,,7462,,3,,9," 108,090 ",Nonfiction
Nonfiction - Othe,59,,23,,31,,57,,32,,9,,0,,16,,24,,0,,0, 251 ,Nonfiction - Othe
Newspaper,0,,0,,0,,136,,0,,0,,0,,0,,0,,0,,0, 136 ,Newspaper
Newspaper - Other,0,,0,,0,,17,,0,,0,,0,,0,,0,,0,,0, 17 ,Newspaper - Other
Chinese - Fiction,31,,0,,29,,93,,6,,0,,0,,59,,250,,0,,2,,Chinese - Fiction
Chinese - Nonfict,121,,3,,99,,237,,29,,0,,0,,221,,175,,0,,0,,Chinese - Nonfict
Hindi - Fiction,350,,0,,91,,86,,279,,0,,0,,0,,415,,0,,0," 1,221 ",Hindi - Fiction
Hindi - Nonfictio,312,,0,,80,,118,,282,,0,,0,,0,,399,,0,,0," 1,191 ",Hindi - Nonfictio
Panjabi - Fiction,365,,143,,196,,221,,385,,0,,0,,0,,535,,0,,0," 1,845 ",Panjabi - Fiction
Panjabi - Nonfict,493,,100,,225,,219,,534,,1,,0,,1,,1010,,0,,0," 2,583 ",Panjabi - Nonfict
Spanish - Fiction,186,,0,,6,,209,,89,,0,,0,,116,,0,,0,,0, 606 ,Spanish - Fiction
Spanish - Nonfict,87,,0,,5,,84,,62,,0,,1,,46,,1,,0,,0, 286 ,Spanish - Nonfict
Reference,1809,,405,,340,,1829,,526,,189,,35,,460,,214,,1,,5," 5,813 ",Reference
Reference - Atlas,3,,1,,1,,10,,4,,3,,0,,2,,2,,0,,0, 26 ,Reference - Atlas
Reference - Biogr,134,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 135 ,Reference - Biogr
Reference - Caree,2,,5,,14,,36,,14,,1,,0,,6,,6,,0,,0, 84 ,Reference - Caree
Reference - Consu,7,,4,,1,,6,,2,,2,,1,,1,,14,,0,,0, 38 ,Reference - Consu
Reference - Direc,54,,9,,1,,48,,6,,5,,0,,19,,3,,0,,0, 145 ,Reference - Direc
Reference - Desk,23,,18,,45,,57,,4,,4,,1,,9,,10,,0,,0, 171 ,Reference - Desk
Reference - Encyc,80,,19,,0,,3,,32,,0,,0,,22,,32,,0,,0, 188 ,Reference - Encyc
Reference - Genea,147,,3000,,0,,0,,0,,0,,0,,0,,0,,0,,0," 3,147 ",Reference - Genea
