,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,2017
Mo,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,Mo
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,
Locations on this,City Centre,,Cloverdale,,Fleetwood,,Guildford,,Newton,,Ocean Park,,Port Kells,,Semiahmoo,,Strawberry Hill,,ReadAbility,,CS,Jan-18,Locations on this
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta
,,,,,,,,,,,,,,,,,,,,,,,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------
Italian Language,40,,4,,8,,15,,16,,3,,1,,18,,7,,0,,0, 112 ,Italian Language
Spanish Language,86,,18,,29,,54,,41,,19,,5,,32,,20,,0,,0, 304 ,Spanish Language
Portuguese Langua,16,,1,,3,,8,,4,,1,,0,,5,,2,,0,,0, 40 ,Portuguese Langua
Latin Language,8,,0,,0,,5,,3,,0,,0,,3,,1,,0,,0, 20 ,Latin Language
Hellenic Language,8,,2,,1,,3,,1,,1,,0,,3,,1,,0,,0, 20 ,Hellenic Language
Other Languages,407,,44,,86,,201,,223,,24,,5,,106,,112,,0,,0," 1,208 ",Other Languages
Science,78,,22,,29,,64,,56,,18,,6,,46,,20,,0,,0, 339 ,Science
Mathematics,144,,64,,71,,117,,86,,18,,9,,67,,46,,0,,0, 622 ,Mathematics
Astronomy,50,,14,,13,,32,,23,,11,,4,,23,,7,,0,,0, 177 ,Astronomy
Planets,6,,0,,0,,3,,3,,0,,0,,0,,0,,0,,0, 12 ,Planets
Meteors,14,,2,,3,,13,,6,,1,,0,,5,,3,,0,,0, 47 ,Meteors
Physics,80,,24,,24,,37,,45,,8,,2,,42,,21,,0,,0, 283 ,Physics
Chemistry,45,,16,,19,,29,,26,,5,,3,,21,,11,,0,,0, 175 ,Chemistry
Earth Sciences,11,,3,,6,,10,,5,,2,,0,,11,,2,,0,,0, 50 ,Earth Sciences
Surface Processes,40,,12,,13,,32,,37,,5,,2,,29,,7,,0,,0, 177 ,Surface Processes
Paleontology,2,,3,,1,,4,,4,,0,,0,,5,,1,,0,,0, 20 ,Paleontology
Dinosaurs,13,,5,,4,,4,,8,,3,,1,,4,,2,,0,,0, 44 ,Dinosaurs
Life Sciences,104,,34,,38,,106,,73,,24,,6,,55,,25,,0,,0, 465 ,Life Sciences
Plants,58,,19,,19,,52,,38,,9,,5,,49,,8,,0,,0, 257 ,Plants
Animals,223,,72,,120,,217,,140,,40,,11,,105,,68,,0,,0, 996 ,Animals
Technology,23,,9,,7,,17,,13,,7,,1,,9,,8,,0,,0, 94 ,Technology
Medical Sciences,777,,348,,524,,779,,681,,244,,91,,574,,360,,0,,0," 4,378 ",Medical Sciences
Disease,853,,374,,320,,727,,638,,235,,56,,459,,392,,0,,0," 4,054 ",Disease
Medical Specialti,166,,96,,100,,152,,145,,34,,8,,86,,101,,0,,0, 888 ,Medical Specialti
Engineering,17,,3,,6,,16,,11,,2,,0,,5,,3,,0,,0, 63 ,Engineering
Elictricity & Ele,164,,70,,49,,172,,102,,18,,9,,65,,37,,0,,0, 686 ,Elictricity & Ele
Civil Engineering,16,,2,,4,,13,,14,,0,,0,,8,,1,,0,,0, 58 ,Civil Engineering
Hydraulic Enginee,15,,7,,2,,14,,8,,2,,0,,2,,3,,0,,0, 53 ,Hydraulic Enginee
Aerospace Enginee,21,,14,,2,,24,,25,,6,,0,,14,,8,,0,,0, 114 ,Aerospace Enginee
Automotive Engine,240,,119,,80,,219,,137,,10,,11,,82,,70,,0,,0, 968 ,Automotive Engine
Astronautics,24,,5,,7,,18,,21,,3,,0,,12,,4,,0,,0, 94 ,Astronautics
Agriculture,59,,32,,21,,58,,45,,29,,16,,40,,20,,1,,0, 321 ,Agriculture
Gardening,213,,151,,147,,227,,213,,119,,46,,245,,160,,0,,0," 1,521 ",Gardening
Animal Husbandry,272,,167,,115,,305,,206,,60,,57,,159,,131,,0,,0," 1,472 ",Animal Husbandry
Hunting / Fishing,29,,12,,16,,32,,25,,5,,2,,18,,9,,0,,0, 148 ,Hunting / Fishing
Home Economics,62,,25,,21,,49,,50,,12,,15,,37,,19,,0,,0, 290 ,Home Economics
Food & Drink,109,,47,,60,,106,,72,,23,,13,,95,,21,,0,,0, 546 ,Food & Drink
Cookery,1692,,856,,921,,1711,,1096,,664,,300,,1233,,611,,0,,0," 9,084 ",Cookery
Meals & Table Ser,13,,5,,11,,19,,21,,9,,4,,17,,2,,0,,0, 101 ,Meals & Table Ser
Household Managem,324,,181,,186,,413,,287,,76,,27,,226,,126,,0,,0," 1,846 ",Household Managem
Hotel Management,69,,40,,36,,84,,45,,20,,10,,53,,22,,0,,0, 379 ,Hotel Management
Child Rearing,261,,119,,96,,306,,211,,59,,15,,146,,113,,0,,0," 1,326 ",Child Rearing
Management,211,,66,,70,,198,,143,,38,,10,,98,,69,,0,,0, 903 ,Management
"Resumes, Careers",205,,92,,69,,176,,165,,39,,18,,91,,67,,0,,0, 922 ,"Resumes, Careers"
Office Services,57,,20,,22,,45,,27,,4,,1,,26,,15,,0,,0, 217 ,Office Services
General Managemen,501,,154,,171,,479,,332,,80,,11,,293,,132,,0,,1," 2,154 ",General Managemen
Advertising,15,,9,,2,,21,,23,,4,,0,,7,,9,,0,,0, 90 ,Advertising
Chemical Engineer,33,,13,,11,,41,,20,,6,,2,,25,,8,,0,,0, 159 ,Chemical Engineer
Manufacturing,18,,10,,3,,24,,17,,3,,2,,11,,1,,0,,0, 89 ,Manufacturing
Specific Manufact,7,,6,,3,,6,,5,,2,,1,,6,,3,,0,,0, 39 ,Specific Manufact
Hardware & Househ,10,,7,,3,,15,,15,,0,,0,,6,,2,,0,,0, 58 ,Hardware & Househ
Furnishings / Hom,55,,50,,34,,92,,63,,17,,6,,45,,21,,0,,0, 383 ,Furnishings / Hom
Leather & Fur Pro,17,,2,,8,,9,,6,,3,,0,,8,,2,,0,,0, 55 ,Leather & Fur Pro
Clothing,17,,6,,6,,10,,16,,4,,0,,4,,2,,0,,0, 65 ,Clothing
Building,61,,48,,35,,72,,46,,18,,7,,48,,31,,0,,0, 366 ,Building
Carpentry,16,,13,,8,,21,,17,,0,,1,,6,,6,,0,,0, 88 ,Carpentry
Roofs,15,,11,,9,,18,,13,,2,,1,,9,,8,,0,,0, 86 ,Roofs
Heating & Ventila,17,,11,,9,,22,,21,,2,,0,,11,,9,,0,,0, 102 ,Heating & Ventila
The Arts,185,,62,,76,,183,,150,,65,,9,,150,,57,,0,,0, 937 ,The Arts
Civic & Landscape,37,,29,,19,,54,,31,,25,,7,,79,,21,,0,,0, 302 ,Civic & Landscape
Architecture,73,,35,,34,,139,,99,,27,,6,,103,,37,,0,,0, 553 ,Architecture
Sculpture,41,,18,,19,,40,,42,,12,,2,,24,,20,,0,,0, 218 ,Sculpture
Numismatics,12,,5,,10,,10,,8,,4,,1,,4,,8,,0,,0, 62 ,Numismatics
Ceramic Arts,42,,19,,16,,58,,32,,16,,6,,37,,19,,0,,0, 245 ,Ceramic Arts
Drawomg,163,,82,,87,,193,,128,,59,,13,,142,,51,,0,,0, 918 ,Drawomg
Handicrafts,171,,100,,91,,223,,139,,74,,22,,121,,91,,0,,0," 1,032 ",Handicrafts
Calligraphy,27,,19,,12,,49,,27,,7,,0,,33,,9,,0,,0, 183 ,Calligraphy
Textile Arts,346,,215,,192,,414,,276,,146,,54,,272,,141,,0,,0," 2,056 ",Textile Arts
Interior Decorati,86,,81,,60,,215,,114,,40,,19,,158,,115,,0,,0, 888 ,Interior Decorati
Painting,191,,128,,107,,249,,162,,103,,23,,272,,78,,0,,0," 1,313 ",Painting
Graphic Arts,17,,4,,9,,25,,17,,5,,1,,16,,7,,0,,0, 101 ,Graphic Arts
Photography,144,,56,,71,,148,,104,,43,,23,,97,,61,,0,,0, 747 ,Photography
Music,390,,91,,110,,365,,177,,47,,7,,182,,90,,0,,0," 1,459 ",Music
Instrumental Musi,18,,1,,0,,25,,8,,2,,0,,3,,1,,0,,0, 58 ,Instrumental Musi
Ensembles,187,,59,,46,,119,,49,,24,,4,,107,,12,,0,,0, 607 ,Ensembles
Recreational & Pe,14,,4,,4,,26,,16,,5,,0,,9,,7,,0,,0, 85 ,Recreational & Pe
"Movies, Radio, Tv",137,,29,,63,,172,,108,,26,,17,,93,,51,,0,,0, 696 ,"Movies, Radio, Tv"
Puppetry,3,,1,,2,,5,,2,,1,,0,,1,,1,,0,,0, 16 ,Puppetry
Stage Presentatio,55,,10,,18,,53,,33,,12,,3,,28,,15,,0,,0, 227 ,Stage Presentatio
Indoor Games,31,,10,,15,,34,,30,,6,,2,,22,,11,,0,,0, 161 ,Indoor Games
Indoor Games Of S,40,,47,,30,,44,,23,,12,,2,,30,,12,,0,,0, 240 ,Indoor Games Of S
Athletic & Outdoo,35,,13,,10,,26,,34,,3,,2,,18,,19,,0,,0, 160 ,Athletic & Outdoo
Ball Games,88,,37,,43,,110,,101,,23,,4,,72,,40,,0,,0, 518 ,Ball Games
Misc. Sports,22,,13,,17,,49,,26,,7,,4,,20,,20,,0,,0, 178 ,Misc. Sports
Outdoor Life,41,,19,,21,,57,,35,,22,,2,,33,,15,,0,,0, 245 ,Outdoor Life
Cycling,24,,4,,11,,33,,17,,11,,1,,23,,7,,0,,0, 131 ,Cycling
Automotive Sports,8,,1,,1,,5,,6,,0,,0,,5,,2,,0,,0, 28 ,Automotive Sports
Combat Sports,42,,6,,9,,29,,30,,5,,2,,18,,22,,0,,0, 163 ,Combat Sports
Ice And Snow Spor,63,,19,,21,,79,,75,,7,,4,,33,,25,,0,,0, 326 ,Ice And Snow Spor
Aquatic Sports,31,,18,,16,,63,,34,,23,,3,,43,,9,,0,,0, 240 ,Aquatic Sports
Air Sports,2,,0,,0,,0,,3,,0,,0,,1,,1,,0,,0, 7 ,Air Sports
Equestrian Sports,5,,13,,3,,14,,9,,1,,4,,5,,1,,0,,0, 55 ,Equestrian Sports
"Fishing, Huntiing",23,,19,,9,,39,,16,,10,,1,,13,,4,,0,,0, 134 ,"Fishing, Huntiing"
Literature,10,,1,,0,,8,,3,,0,,0,,7,,3,,0,,0, 32 ,Literature
Rhetoric,350,,127,,103,,414,,196,,64,,15,,200,,117,,0,,0," 1,586 ",Rhetoric
American Literatu,455,,110,,133,,473,,269,,97,,23,,271,,107,,0,,0," 1,938 ",American Literatu
English Literatur,263,,52,,53,,302,,110,,50,,12,,125,,54,,0,,0," 1,021 ",English Literatur
Germanic Literatu,23,,2,,4,,13,,7,,5,,0,,10,,1,,0,,0, 65 ,Germanic Literatu
French Literature,14,,0,,3,,7,,4,,0,,0,,7,,1,,0,,0, 36 ,French Literature
Italian Literatur,8,,0,,3,,11,,10,,5,,0,,6,,0,,0,,0, 43 ,Italian Literatur
Spanish Literatur,20,,0,,1,,20,,9,,1,,0,,5,,0,,0,,0, 56 ,Spanish Literatur
Portuguese Litera,1,,0,,0,,1,,0,,1,,0,,1,,0,,0,,0, 4 ,Portuguese Litera
Latin Literature,3,,0,,1,,3,,3,,0,,0,,7,,1,,0,,0, 18 ,Latin Literature
Classical Greek L,18,,3,,5,,24,,9,,3,,1,,6,,3,,0,,0, 72 ,Classical Greek L
Other Literatures,193,,34,,97,,110,,218,,0,,0,,3,,453,,0,,0," 1,108 ",Other Literatures
Iranian & Celtic,5,,3,,0,,7,,3,,1,,0,,3,,4,,0,,0, 26 ,Iranian & Celtic
East Slavic Liter,8,,1,,2,,5,,5,,1,,0,,8,,1,,0,,0, 31 ,East Slavic Liter
Afro-asian Litera,8,,1,,3,,4,,4,,1,,0,,2,,5,,0,,0, 28 ,Afro-asian Litera
East Asian Litera,18,,1,,7,,36,,11,,1,,0,,23,,31,,0,,0, 128 ,East Asian Litera
Japanese Literatu,6,,0,,0,,10,,2,,4,,0,,4,,1,,0,,0, 27 ,Japanese Literatu
African Literatur,1,,0,,0,,1,,2,,0,,0,,1,,0,,0,,0, 5 ,African Literatur
Geography & Histo,68,,28,,17,,106,,57,,20,,1,,47,,20,,0,,0, 364 ,Geography & Histo
Geography & Trave,181,,58,,57,,180,,122,,55,,10,,110,,45,,0,,0, 818 ,Geography & Trave
Europe,344,,71,,191,,346,,210,,93,,20,,364,,94,,0,,0," 1,733 ",Europe
Asia,141,,18,,62,,160,,107,,28,,1,,143,,59,,0,,0, 719 ,Asia
Africa,45,,3,,11,,51,,23,,2,,0,,50,,6,,0,,0, 191 ,Africa
North America,433,,95,,203,,400,,261,,113,,29,,341,,126,,0,,0," 2,001 ",North America
South America,41,,3,,20,,45,,27,,3,,1,,31,,8,,0,,0, 179 ,South America
Other Areas,77,,16,,39,,77,,48,,24,,6,,66,,28,,0,,0, 381 ,Other Areas
Genealogy,112,,121,,21,,77,,59,,14,,5,,33,,29,,0,,0, 471 ,Genealogy
Ancient History,38,,30,,19,,86,,59,,19,,2,,66,,17,,0,,0, 336 ,Ancient History
European History,20,,9,,5,,36,,20,,7,,1,,20,,5,,0,,0, 123 ,European History
World War I,39,,28,,17,,81,,46,,18,,2,,49,,12,,0,,0, 292 ,World War I
World War Ii,142,,101,,59,,205,,142,,59,,8,,143,,59,,0,,0, 918 ,World War Ii
British  History,70,,33,,20,,86,,64,,41,,3,,68,,18,,0,,0, 403 ,British  History
Central European,24,,7,,7,,42,,27,,6,,0,,33,,6,,0,,0, 152 ,Central European
French History,20,,6,,6,,36,,23,,13,,2,,21,,4,,0,,0, 131 ,French History
Italian History,16,,5,,5,,18,,9,,7,,0,,24,,4,,0,,0, 88 ,Italian History
Spanish History,8,,2,,2,,8,,4,,3,,0,,8,,0,,0,,0, 35 ,Spanish History
Russian History,26,,15,,6,,39,,23,,3,,2,,25,,10,,0,,1, 150 ,Russian History
Scandinavian Hist,7,,10,,1,,38,,12,,2,,1,,11,,3,,0,,0, 85 ,Scandinavian Hist
Asian History,38,,16,,22,,91,,26,,7,,1,,43,,16,,0,,0, 260 ,Asian History
Japanese History,8,,1,,4,,13,,9,,3,,0,,11,,1,,0,,0, 50 ,Japanese History
Arabian History,4,,1,,0,,6,,3,,1,,0,,4,,0,,0,,0, 19 ,Arabian History
Indian History,94,,19,,30,,46,,126,,5,,0,,15,,168,,0,,0, 503 ,Indian History
Iranian History,88,,29,,26,,113,,65,,34,,3,,50,,32,,0,,0, 440 ,Iranian History
Siberian History,0,,1,,0,,2,,1,,0,,0,,0,,0,,0,,0, 4 ,Siberian History
Central Asian His,32,,12,,5,,44,,22,,14,,7,,20,,12,,0,,0, 168 ,Central Asian His
Se Asian History,11,,6,,2,,17,,16,,4,,0,,7,,2,,0,,0, 65 ,Se Asian History
African History,19,,10,,7,,48,,29,,4,,0,,14,,11,,0,,0, 142 ,African History
North American Hi,24,,17,,1,,41,,29,,5,,3,,19,,8,,0,,0, 147 ,North American Hi
Canadian History,91,,55,,34,,227,,132,,31,,4,,82,,64,,0,,0, 720 ,Canadian History
British Columbian,112,,115,,41,,269,,158,,33,,8,,81,,44,,0,,0, 861 ,British Columbian
Prairie Provinces,19,,23,,6,,39,,38,,5,,0,,20,,7,,0,,0, 157 ,Prairie Provinces
Ontario History,9,,7,,2,,9,,8,,4,,0,,4,,0,,0,,0, 43 ,Ontario History
Quebec History,9,,3,,0,,13,,5,,3,,0,,5,,1,,0,,0, 39 ,Quebec History
Atlantic Province,11,,11,,2,,21,,13,,1,,1,,5,,0,,0,,0, 65 ,Atlantic Province
Northern Territor,8,,9,,4,,28,,22,,5,,1,,11,,2,,0,,0, 90 ,Northern Territor
Mexican History,32,,8,,8,,35,,14,,6,,1,,18,,6,,0,,0, 128 ,Mexican History
U.s. History,131,,39,,57,,197,,112,,39,,11,,108,,46,,0,,0, 740 ,U.s. History
U.s. Pacific Slop,39,,19,,19,,71,,53,,12,,3,,39,,14,,0,,0, 269 ,U.s. Pacific Slop
South American Hi,8,,1,,5,,18,,14,,5,,0,,10,,3,,0,,0, 64 ,South American Hi
Other Areas Histo,7,,2,,2,,12,,9,,1,,0,,6,,0,,0,,0, 39 ,Other Areas Histo
Extraterrestrial,407,,94,,103,,450,,312,,56,,17,,267,,128,,0,,0," 1,834 ",Extraterrestrial
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,21598,,8663,,9138,,24059,,16084,,5298,,1651,,14566,,8618,,3,,6," 109,684 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D,,t eddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Philosophy & Psyc,1151,,472,,655,,1150,,1074,,162,,26,,689,,781,,0,,1," 6,161 ",Philosophy & Psyc
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,1151,,472,,655,,1150,,1074,,162,,26,,689,,781,,0,,1," 6,161 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (,,t frddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,3,,0,,0,,2,,2,,0,,0,,2,,1,,0,,0, 10 ,Generalities
Philosophy & Psyc,6,,1,,0,,10,,2,,0,,0,,3,,0,,0,,0, 22 ,Philosophy & Psyc
Religion,3,,2,,0,,0,,1,,0,,0,,2,,1,,0,,0, 9 ,Religion
Social Sciences,18,,14,,7,,22,,9,,6,,1,,14,,4,,0,,0, 95 ,Social Sciences
Languages,1,,0,,0,,4,,0,,0,,0,,1,,0,,0,,0, 6 ,Languages
Science & Mathema,1,,0,,0,,1,,0,,0,,0,,3,,0,,0,,0, 5 ,Science & Mathema
Technology & Medi,15,,11,,6,,20,,7,,4,,0,,15,,3,,0,,0, 81 ,Technology & Medi
The Arts / Sports,8,,3,,0,,9,,3,,3,,0,,5,,2,,0,,0, 33 ,The Arts / Sports
Literature,17,,2,,1,,11,,2,,3,,0,,10,,0,,0,,0, 46 ,Literature
Geography & Histo,15,,3,,2,,26,,6,,1,,0,,13,,3,,0,,0, 69 ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,87,,36,,16,,105,,32,,17,,1,,68,,14,,0,,0, 376 ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc,,t jabddc, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (,,t jbddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,354,,193,,363,,660,,287,,236,,16,,461,,221,,0,,0," 2,791 ",Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,354,,193,,363,,660,,287,,236,,16,,461,,221,,0,,0," 2,791 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D,,t jddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,74,,36,,55,,85,,60,,30,,12,,66,,41,,0,,0, 459 ,Generalities
Computers,197,,75,,115,,178,,152,,63,,30,,185,,143,,0,,0," 1,138 ",Computers
Journalism,3,,1,,2,,0,,3,,0,,0,,3,,1,,0,,0, 13 ,Journalism
Philosophy,1,,0,,2,,2,,2,,0,,0,,2,,0,,0,,0, 9 ,Philosophy
Paranormal,0,,0,,0,,1,,1,,0,,0,,1,,1,,0,,0, 4 ,Paranormal
Parapsychology,31,,11,,24,,35,,23,,10,,2,,18,,25,,0,,0, 179 ,Parapsychology
Dreams & Mysterie,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Dreams & Mysterie
"Graphology, Physi",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,"Graphology, Physi"
Psychology,50,,21,,31,,65,,55,,25,,8,,44,,26,,0,,0, 325 ,Psychology
Applied Psycholog,16,,5,,12,,24,,13,,6,,1,,12,,9,,0,,0, 98 ,Applied Psycholog
Logic & Ethics,12,,7,,11,,24,,13,,5,,0,,13,,13,,0,,0, 98 ,Logic & Ethics
Oriental Philosop,1,,0,,1,,3,,0,,0,,0,,2,,2,,0,,0, 9 ,Oriental Philosop
Modern Western Ph,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Modern Western Ph
Religion,12,,5,,9,,18,,12,,1,,0,,13,,7,,0,,0, 77 ,Religion
Bible,13,,5,,11,,22,,12,,7,,2,,12,,10,,0,,0, 94 ,Bible
Christianity,18,,7,,22,,32,,15,,10,,1,,14,,11,,0,,0, 130 ,Christianity
Christian Sects,0,,0,,0,,3,,1,,0,,0,,1,,1,,0,,0, 6 ,Christian Sects
Coomparative Reli,2,,0,,2,,2,,1,,0,,0,,2,,1,,0,,0, 10 ,Coomparative Reli
Major Religions,65,,20,,50,,99,,61,,13,,4,,46,,87,,0,,0, 445 ,Major Religions
Other Religons,9,,1,,3,,8,,3,,0,,0,,7,,3,,0,,0, 34 ,Other Religons
Social Sciences,66,,27,,41,,99,,55,,25,,3,,46,,54,,0,,0, 416 ,Social Sciences
Statistics,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Statistics
Political Science,20,,6,,11,,36,,20,,5,,3,,20,,7,,0,,0, 128 ,Political Science
International Mig,3,,1,,0,,1,,1,,1,,0,,1,,3,,0,,0, 11 ,International Mig
Slavery,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Slavery
International Rel,8,,1,,4,,10,,4,,3,,1,,5,,5,,0,,0, 41 ,International Rel
Legislative Proce,1,,0,,0,,1,,0,,0,,0,,0,,1,,0,,0, 3 ,Legislative Proce
Economics,9,,4,,5,,13,,8,,3,,0,,7,,6,,0,,0, 55 ,Economics
Financial Economi,11,,4,,9,,23,,9,,3,,1,,8,,7,,0,,0, 75 ,Financial Economi
Land Economics,42,,12,,35,,56,,42,,11,,3,,34,,33,,0,,0, 268 ,Land Economics
Cooperatives,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Cooperatives
Socialism,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Socialism
Public Finance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Public Finance
International Eco,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,International Eco
Production,20,,2,,8,,16,,10,,4,,0,,7,,5,,0,,0, 72 ,Production
Law,5,,1,,2,,9,,3,,1,,0,,4,,1,,0,,0, 26 ,Law
Public Administra,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Public Administra
Military Science,11,,5,,11,,22,,8,,3,,2,,15,,9,,0,,0, 86 ,Military Science
Social Problems &,2,,0,,0,,3,,1,,1,,0,,3,,3,,0,,0, 13 ,Social Problems &
Substance Abuse,31,,7,,25,,65,,27,,11,,1,,19,,22,,0,,0, 208 ,Substance Abuse
Environmental Pro,24,,8,,28,,47,,35,,11,,1,,25,,21,,0,,0, 200 ,Environmental Pro
Criminology,4,,2,,5,,9,,4,,3,,0,,7,,3,,0,,0, 37 ,Criminology
"Associations, Clu",0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 1 ,"Associations, Clu"
Insurance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Insurance
Misc. Association,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Misc. Association
Education,188,,108,,184,,289,,223,,49,,43,,187,,172,,0,,0," 1,443 ",Education
Commerce,2,,1,,1,,1,,3,,0,,0,,1,,0,,0,,0, 9 ,Commerce
Communications,0,,0,,1,,3,,1,,0,,0,,0,,0,,0,,0, 5 ,Communications
Transportation,17,,6,,9,,24,,13,,6,,1,,18,,7,,0,,0, 101 ,Transportation
Metrology,0,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0, 2 ,Metrology
Customs,168,,69,,146,,235,,149,,67,,15,,140,,137,,0,,0," 1,126 ",Customs
Folklore,116,,37,,70,,167,,105,,35,,10,,80,,76,,0,,0, 696 ,Folklore
Customs Of War,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Customs Of War
Languages,2,,0,,0,,2,,0,,0,,0,,0,,0,,0,,0, 4 ,Languages
Linguistics,249,,89,,160,,316,,232,,53,,22,,187,,121,,1,,0," 1,430 ",Linguistics
